Date,COTTAGE GROVE,DORENA,FERN RIDGE,BLUE RIVER,COUGAR,FALL CREEK,HILLS CREEK,LOOKOUT POINT,DETROIT,FOSTER
24Jul1900,789.93,831.67,373.48,1350.00,1690.00,829.70,1541.00,926.00,1563.45,637.0
25Jul1900,789.93,831.67,373.48,1350.00,1690.00,829.70,1541.00,926.00,1563.45,637.0
26Jul1900,789.93,831.67,373.48,1350.00,1690.00,829.70,1541.00,926.00,1563.45,637.0
27Jul1900,789.93,831.67,373.48,1350.00,1690.00,829.70,1541.00,926.00,1563.45,637.0
28Jul1900,789.93,831.67,373.48,1350.00,1690.00,829.70,1541.00,926.00,1563.45,637.0
29Jul1900,789.93,831.67,373.48,1350.00,1690.00,829.70,1541.00,926.00,1563.45,637.0
30Jul1900,789.93,831.67,373.48,1350.00,1690.00,829.70,1541.00,926.00,1563.45,637.0
31Jul1900,789.93,831.67,373.48,1350.00,1690.00,829.70,1541.00,926.00,1563.45,637.0
01Aug1900,789.93,831.67,373.48,1350.00,1690.00,829.70,1541.00,926.00,1563.45,637.0
02Aug1900,789.93,831.67,373.48,1350.00,1690.00,829.70,1541.00,926.00,1563.45,637.0
03Aug1900,789.93,831.67,373.48,1350.00,1690.00,829.70,1541.00,926.00,1563.45,637.0
04Aug1900,789.93,831.67,373.48,1350.00,1690.00,829.70,1541.00,926.00,1563.45,637.0
05Aug1900,789.93,831.67,373.48,1350.00,1690.00,829.70,1541.00,926.00,1563.45,637.0
06Aug1900,789.93,831.67,373.48,1350.00,1690.00,829.70,1541.00,926.00,1563.45,637.0
07Aug1900,789.93,831.67,373.48,1350.00,1690.00,829.70,1541.00,926.00,1563.45,637.0
08Aug1900,789.93,831.67,373.48,1350.00,1690.00,829.70,1541.00,926.00,1563.45,637.0
09Aug1900,789.93,831.67,373.48,1350.00,1690.00,829.70,1541.00,926.00,1563.45,637.0
10Aug1900,789.93,831.67,373.48,1350.00,1690.00,829.70,1541.00,926.00,1563.45,637.0
11Aug1900,789.93,831.67,373.48,1350.00,1690.00,829.70,1541.00,926.00,1563.45,637.0
12Aug1900,789.93,831.67,373.48,1350.00,1690.00,829.70,1541.00,926.00,1563.45,637.0
13Aug1900,789.93,831.67,373.48,1350.00,1690.00,829.70,1541.00,926.00,1563.45,637.0
14Aug1900,789.93,831.67,373.48,1350.00,1690.00,829.70,1541.00,926.00,1563.45,637.0
15Aug1900,789.93,831.67,373.48,1350.00,1690.00,829.70,1541.00,926.00,1563.45,637.0
16Aug1900,789.93,831.67,373.48,1350.00,1690.00,829.70,1541.00,926.00,1563.45,637.0
17Aug1900,789.93,831.67,373.48,1350.00,1690.00,829.70,1541.00,926.00,1563.45,637.0
18Aug1900,789.93,831.67,373.48,1350.00,1690.00,829.70,1541.00,926.00,1563.45,637.0
19Aug1900,789.93,831.67,373.48,1350.00,1690.00,829.70,1541.00,926.00,1563.45,637.0
20Aug1900,789.93,831.67,373.48,1350.00,1690.00,829.70,1541.00,926.00,1563.45,637.0
21Aug1900,789.93,831.67,373.48,1350.00,1690.00,829.70,1541.00,926.00,1563.45,637.0
22Aug1900,789.93,831.67,373.48,1350.00,1690.00,829.70,1541.00,926.00,1563.45,637.0
23Aug1900,789.93,831.67,373.48,1350.00,1690.00,829.70,1541.00,926.00,1563.45,637.0
24Aug1900,789.93,831.67,373.48,1350.00,1690.00,829.70,1541.00,926.00,1563.45,637.0
25Aug1900,789.93,831.67,373.48,1350.00,1690.00,829.70,1541.00,926.00,1563.45,637.0
26Aug1900,789.93,831.67,373.48,1350.00,1690.00,829.70,1541.00,926.00,1563.45,637.0
27Aug1900,789.93,831.67,373.48,1350.00,1690.00,829.70,1541.00,926.00,1563.45,637.0
28Aug1900,789.93,831.67,373.48,1350.00,1690.00,829.70,1541.00,926.00,1563.45,637.0
29Aug1900,789.93,831.67,373.48,1350.00,1690.00,829.70,1541.00,926.00,1563.45,637.0
30Aug1900,789.93,831.67,373.48,1350.00,1690.00,829.70,1541.00,926.00,1563.45,637.0
31Aug1900,789.44,830.94,373.48,1348.79,1688.72,828.91,1540.22,925.19,1562.56,637.0
01Sep1900,788.96,830.21,373.48,1347.57,1687.37,828.05,1539.45,924.37,1561.67,637.0
02Sep1900,788.47,829.47,373.48,1346.36,1686.01,827.18,1538.67,923.56,1560.77,637.0
03Sep1900,787.99,828.74,373.48,1345.15,1684.66,826.32,1537.89,922.74,1559.88,637.0
04Sep1900,787.50,828.01,373.48,1343.94,1683.30,825.45,1537.11,921.93,1558.99,637.0
05Sep1900,787.02,827.28,373.48,1342.72,1681.95,824.59,1536.34,921.11,1558.10,637.0
06Sep1900,786.53,826.54,373.48,1341.51,1680.60,823.72,1535.56,920.30,1557.21,637.0
07Sep1900,786.05,825.81,373.48,1340.30,1679.24,822.86,1534.78,919.49,1556.32,637.0
08Sep1900,785.56,825.08,373.48,1339.08,1677.89,821.99,1534.01,918.67,1555.42,637.0
09Sep1900,785.08,824.35,373.48,1337.87,1676.54,821.13,1533.23,917.86,1554.53,637.0
10Sep1900,784.59,823.61,373.48,1336.66,1675.18,820.27,1532.45,917.04,1553.64,637.0
11Sep1900,784.11,822.88,373.48,1335.44,1673.83,819.40,1531.68,916.23,1552.75,637.0
12Sep1900,783.62,822.15,373.48,1334.23,1672.47,818.54,1530.90,915.41,1551.86,637.0
13Sep1900,783.14,821.42,373.48,1333.02,1671.12,817.67,1530.12,914.60,1550.97,637.0
14Sep1900,782.65,820.68,373.48,1331.80,1669.77,816.81,1529.34,913.79,1550.07,637.0
15Sep1900,782.16,819.95,373.48,1330.59,1668.41,815.94,1528.57,912.97,1549.18,637.0
16Sep1900,781.68,819.22,373.48,1329.38,1667.06,815.08,1527.79,912.16,1548.29,637.0
17Sep1900,781.19,818.49,373.48,1328.17,1665.71,814.21,1527.01,911.34,1547.40,637.0
18Sep1900,780.71,817.76,373.48,1326.95,1664.35,813.35,1526.24,910.53,1546.51,637.0
19Sep1900,780.22,817.02,373.48,1325.74,1663.00,812.48,1525.46,909.71,1545.62,637.0
20Sep1900,779.74,816.29,373.12,1324.53,1661.64,811.62,1524.68,908.90,1544.72,637.0
21Sep1900,779.25,815.56,372.75,1323.31,1660.29,810.76,1523.90,908.08,1543.83,637.0
22Sep1900,778.77,814.83,372.39,1322.10,1658.94,809.89,1523.13,907.27,1542.94,637.0
23Sep1900,778.28,814.09,372.03,1320.89,1657.58,809.03,1522.35,906.46,1542.05,637.0
24Sep1900,777.80,813.36,371.66,1319.68,1656.23,808.16,1521.57,905.64,1541.16,637.0
